id_pagador,qtd_boletos,media_atraso,atraso_maximo,taxa_atraso,valor_total,ticket_medio,id_cnpj,cd_cnae_prin,uf,sacado_indice_liquidez_1m,cedente_indice_liquidez_1m,score_materialidade_evolucao,media_atraso_dias,indicador_liquidez_quantitativo_3m,share_vl_inad_pag_bol_6_a_15d,score_quantidade_v2,score_materialidade_v2
02faf700b2f9d26a9a0f8fcd1fc2f321333f48ccbc077b8e17f093bb9b88de4f,1,0.0,0.0,0.0,330.59,330.59,,,,,,,,,,,
03032d5545d03d6a80c2c0c7a246cd21ee99220c88185ede3e61147637522414,1,0.0,0.0,0.0,600.0,600.0,,,,,,,,,,,
032de167a32b1c0fad8ef0d8075d89c942c772a82a888bab322d0493e5dffb13,1,0.0,0.0,0.0,549.6,549.6,,,,,,,,,,,
0342a204c8f2ac38fa1b0d1fe11cb8ee3845a42c3604fd46a85dc2f188f39a1a,2,0.5,1.0,0.5,181645.05000000002,90822.52500000001,0342a204c8f2ac38fa1b0d1fe11cb8ee3845a42c3604fd46a85dc2f188f39a1a,4673700.0,SP,9820000000000000.0,8960000000000000.0,944.0,2.26e+16,980.0,0.0,983.0,988.0
0351113dbf32d54c59d2e796d34294af15952ad722cced17e73b837e2708291b,1,0.0,0.0,0.0,293.9,293.9,,,,,,,,,,,
035448685b88a3f018019e43fdf8ecaeabc24b8157f81c4b6597ba10e98d76e0,2,0.5,1.0,0.5,19421.800000000003,9710.900000000001,,,,,,,,,,,
0375b747ff1a0376fa206f8c786d20368edec76826fe47e9374176d84edb4870,1,0.0,0.0,0.0,403.83,403.83,0375b747ff1a0376fa206f8c786d20368edec76826fe47e9374176d84edb4870,4781400.0,MS,9210000000000000.0,9260000000000000.0,937.0,5790000000000000.0,990.0,22189.0,971.0,989.0
0397be76b44c0cd77d6801abc4a723fca950512982bd9589eae82b1ea00b7269,1,0.0,0.0,0.0,2660.0,2660.0,0397be76b44c0cd77d6801abc4a723fca950512982bd9589eae82b1ea00b7269,2071100.0,SP,9990000000000000.0,1000.0,903.0,2.14e+16,960.0,0.0,961.0,989.0
039b2e75b6eeef7cc32e5d7a5b4b3215dda9788c0fcf31e1c8395925aa081b4d,1,0.0,0.0,0.0,408.96,408.96,,,,,,,,,,,
03a23c6d0c731f423c89d33ecd90fefcd106e3614ca8326838d5ba9128342601,1,16.0,16.0,1.0,2127.87,2127.87,03a23c6d0c731f423c89d33ecd90fefcd106e3614ca8326838d5ba9128342601,4642701.0,RJ,5530000000000000.0,7570000000000000.0,193.0,161800.0,810.0,1797.0,326.0,980.0
03a96499773502afde5d8196f52121136be8832f060b9ebaea7615209d644b0a,1,0.0,0.0,0.0,609.55,609.55,,,,,,,,,,,
03c7017fd6e94583fbc67fe7d77ec35b84824a3b14559a46a27d2654b47ed28b,1,0.0,0.0,0.0,361.12,361.12,,,,,,,,,,,
03cc399315efb0e3d30fb28422ecfbd83315025747ca0fb096368bb230af4a7e,1,1.0,1.0,1.0,255.09,255.09,03cc399315efb0e3d30fb28422ecfbd83315025747ca0fb096368bb230af4a7e,4742300.0,SC,9230000000000000.0,7630000000000000.0,767.0,30000.0,920.0,49017.0,979.0,987.0
03dd42fa86c38bf08534b47e1580be91b35dad7fbccd330ccf8403c294c77c9a,1,0.0,0.0,0.0,159.15,159.15,,,,,,,,,,,
03de6595066767567620bb6f2181abd6473201580d4c922978d558ab3d14afa4,1,8.0,8.0,1.0,74944.5,74944.5,,,,,,,,,,,
04035511eb7373bdca98b42e8bd5ae09bc958910f2ec407aadbeaa2b46a19d29,2,2.0,2.0,1.0,1000.54,500.27,04035511eb7373bdca98b42e8bd5ae09bc958910f2ec407aadbeaa2b46a19d29,4744099.0,SP,1000.0,1000.0,931.0,204800.0,910.0,0.0,959.0,987.0
040442ac14fbb8a32b7b47da75bed955817f53134008cefcf628fd82ea5c44e7,1,2.0,2.0,1.0,1116.8,1116.8,,,,,,,,,,,
0427016f184de570f9d6f115776b50ab961b1b547c352330c2efbf30df95f96c,1,0.0,0.0,0.0,2075.0,2075.0,,,,,,,,,,,
0435cbc051f69223afa9fc4b66d46ff9c82b14e11bee604f69d7c7999b65a1dd,1,1.0,1.0,1.0,976.0,976.0,0435cbc051f69223afa9fc4b66d46ff9c82b14e11bee604f69d7c7999b65a1dd,2532201.0,SP,8290000000000000.0,949619000000000.0,403.0,150000.0,720.0,15075.0,132.0,978.0
04377762b04d436e2c3e904b584b2da18806768e992c235ac53026be401aba09,1,0.0,0.0,0.0,681.26,681.26,,,,,,,,,,,
043b826aad24628fde2e145a11ae9bee12155e75b8d3b58ddbc0c3343a2a150d,1,0.0,0.0,0.0,66.97,66.97,043b826aad24628fde2e145a11ae9bee12155e75b8d3b58ddbc0c3343a2a150d,4511101.0,SP,7470000000000000.0,9980000000000000.0,948.0,1950000000000000.0,910.0,315.0,981.0,985.0
043ff829a5866403be9983860405d4a63ce140b6dfb2320fa56174158395596f,2,0.0,0.0,0.0,1368.42,684.21,,,,,,,,,,,
044ce53215bd94b7619418e63379d0fc1dc18a9ddc74340e902a165413f0dc72,1,3.0,3.0,1.0,83.68,83.68,,,,,,,,,,,
046306c24eb7deb9de4130f21cb9254e05bb5636bbd1b39d9c49f60c8598aac1,1,0.0,0.0,0.0,800.24,800.24,,,,,,,,,,,
046dc19657e5ef9b348518f2eba12b7b3f4fc8179d5eb5c38ecd68e6dfb185d2,1,0.0,0.0,0.0,3349.91,3349.91,046dc19657e5ef9b348518f2eba12b7b3f4fc8179d5eb5c38ecd68e6dfb185d2,4744003.0,MG,9640000000000000.0,7390000000000000.0,929.0,250000.0,850.0,0.0,955.0,986.0
04a1a6d846aeaee038910b10ae377608ff0847f452d8748e12ca2248e9708422,1,2.0,2.0,1.0,2394.56,2394.56,04a1a6d846aeaee038910b10ae377608ff0847f452d8748e12ca2248e9708422,4744003.0,SP,9220000000000000.0,9030000000000000.0,951.0,190000.0,950.0,0.0,968.0,989.0
